DISTRICT,REGION,DEPARTEMENT,SOUS-PREFECTURE OU COMMUNE,CATEGORIE,EFFECTIF
SASSANDRA-MARAHOUE ,MARAHOUE,BOUAFLE,PAKOUABO,FEMME,8927
SASSANDRA-MARAHOUE ,MARAHOUE,BOUAFLE,TIBEITA,FEMME,10198
SASSANDRA-MARAHOUE ,MARAHOUE,GOHITAFLA,GOHITAFLA,FEMME,21620
SASSANDRA-MARAHOUE ,MARAHOUE,GOHITAFLA,IRIEFLA,FEMME,4121
SASSANDRA-MARAHOUE ,MARAHOUE,GOHITAFLA,MAMINIGUI,FEMME,13527
SASSANDRA-MARAHOUE ,MARAHOUE,SINFRA,BAZRE,FEMME,14623
SASSANDRA-MARAHOUE ,MARAHOUE,SINFRA,KONONFLA,FEMME,26015
SASSANDRA-MARAHOUE ,MARAHOUE,SINFRA,KOUETINFLA,FEMME,9994
SASSANDRA-MARAHOUE ,MARAHOUE,SINFRA,SINFRA,FEMME,66541
SASSANDRA-MARAHOUE ,MARAHOUE,ZUENOULA,KANZRA,FEMME,17207
SASSANDRA-MARAHOUE ,MARAHOUE,ZUENOULA,VOUEBOUFLA,FEMME,12503
SASSANDRA-MARAHOUE ,MARAHOUE,ZUENOULA,ZANZRA,FEMME,20259
SASSANDRA-MARAHOUE ,MARAHOUE,ZUENOULA,ZUENOULA,FEMME,36726
SAVANES ,PORO,DIKODOUGOU,BORON,FEMME,16489
SAVANES ,PORO,DIKODOUGOU,DIKODOUGOU,FEMME,23879
SAVANES ,PORO,DIKODOUGOU,GUIEMBE,FEMME,9917
SAVANES ,PORO,KORHOGO,DASSOUNGBOHO,FEMME,4414
SAVANES ,PORO,KORHOGO,KANOROBA,FEMME,12060
SAVANES ,PORO,KORHOGO,KARAKORO,FEMME,12223
SAVANES ,PORO,KORHOGO,KIEMOU,FEMME,14801
SAVANES ,PORO,KORHOGO,KOMBOLOKOURA,FEMME,4465
SAVANES ,PORO,KORHOGO,KOMBORODOUGOU,FEMME,8598
SAVANES ,PORO,KORHOGO,KONI,FEMME,8708
SAVANES ,PORO,KORHOGO,KORHOGO,FEMME,215736
SAVANES ,PORO,KORHOGO,LATAHA,FEMME,14020
SAVANES ,PORO,KORHOGO,NAFOUN,FEMME,5119
SAVANES ,PORO,KORHOGO,NAPIELEODOUGOU,FEMME,16488
SAVANES ,PORO,KORHOGO,N'GANON,FEMME,4581
SAVANES ,PORO,KORHOGO,NIOFOIN,FEMME,17872
SAVANES ,PORO,KORHOGO,SIRASSO,FEMME,14714
SAVANES ,PORO,KORHOGO,SOHOUO,FEMME,5987
SAVANES ,PORO,KORHOGO,TIORONIARADOUGOU,FEMME,11141
SAVANES ,PORO,M'BENGUE,BOUGOU,FEMME,8102
SAVANES ,PORO,M'BENGUE,KATIALI,FEMME,6302
SAVANES ,PORO,M'BENGUE,KATOGO,FEMME,9479
SAVANES ,PORO,M'BENGUE,M'BENGUE,FEMME,31870
SAVANES ,PORO,SINEMATIALI,BAHOUAKAHA,FEMME,3382
SAVANES ,PORO,SINEMATIALI,KAGBOLODOUGOU,FEMME,5318
SAVANES ,PORO,SINEMATIALI,SEDIEGO,FEMME,3616
SAVANES ,PORO,SINEMATIALI,SINEMATIALI,FEMME,26648
SAVANES ,TCHOLOGO ,FERKESSEDOUGOU,FERKESSEDOUGOU,FEMME,78667
SAVANES ,TCHOLOGO ,FERKESSEDOUGOU,KOUMBALA,FEMME,7075
SAVANES ,TCHOLOGO ,FERKESSEDOUGOU,TOGONIERE,FEMME,7567
SAVANES ,TCHOLOGO ,KONG,BILIMONO,FEMME,13921
SAVANES ,TCHOLOGO ,KONG,KONG,FEMME,15737
SAVANES ,TCHOLOGO ,KONG,NAFANA(DE KONG),FEMME,13953
SAVANES ,TCHOLOGO ,KONG,SIKOLO,FEMME,13440
SAVANES ,TCHOLOGO ,OUANGOLODOUGOU,DIAWALA,FEMME,41046
SAVANES ,TCHOLOGO ,OUANGOLODOUGOU,KAOUARA,FEMME,16720
SAVANES ,TCHOLOGO ,OUANGOLODOUGOU,NIELLE,FEMME,23489
SAVANES ,TCHOLOGO ,OUANGOLODOUGOU,OUANGOLODOUGOU,FEMME,40174
SAVANES ,TCHOLOGO ,OUANGOLODOUGOU,TOUMOUKORO,FEMME,22256
SAVANES ,BAGOUE ,BOUNDIALI,BAYA,FEMME,8019
SAVANES ,BAGOUE ,BOUNDIALI,BOUNDIALI,FEMME,44915
SAVANES ,BAGOUE ,BOUNDIALI,GANAONI,FEMME,11954
SAVANES ,BAGOUE ,BOUNDIALI,KASSERE,FEMME,18786
SAVANES ,BAGOUE ,BOUNDIALI,SIEMPURGO,FEMME,11670
SAVANES ,BAGOUE ,KOUTO,BLESSEGUE,FEMME,10369
SAVANES ,BAGOUE ,KOUTO,GBON,FEMME,16419
SAVANES ,BAGOUE ,KOUTO,KOLIA,FEMME,15635
SAVANES ,BAGOUE ,KOUTO,KOUTO,FEMME,27541
SAVANES ,BAGOUE ,KOUTO,SIANHALA,FEMME,16980
SAVANES ,BAGOUE ,TENGRELA,DEBETE,FEMME,2533
SAVANES ,BAGOUE ,TENGRELA,KANAKONO,FEMME,14845
SAVANES ,BAGOUE ,TENGRELA,PAPARA,FEMME,5714
SAVANES ,BAGOUE ,TENGRELA,TENGRELA,FEMME,45282
VALLEE DU BANDAMAN,GBEKE,BEOUMI,ANDO-KEKRENOU,FEMME,7753
VALLEE DU BANDAMAN,GBEKE,BEOUMI,BEOUMI,FEMME,40889
VALLEE DU BANDAMAN,GBEKE,BEOUMI,BODOKRO,FEMME,18206
VALLEE DU BANDAMAN,GBEKE,BEOUMI,KONDROBO,FEMME,8400
VALLEE DU BANDAMAN,GBEKE,BEOUMI,LOLOBO (DE BEOUMI),FEMME,5796
VALLEE DU BANDAMAN,GBEKE,BEOUMI,MARABADIASSA,FEMME,4991
VALLEE DU BANDAMAN,GBEKE,BEOUMI,N'GUESSANKRO (DE BEOUMI),FEMME,7706
VALLEE DU BANDAMAN,GBEKE,BOTRO,BOTRO,FEMME,17979
VALLEE DU BANDAMAN,GBEKE,BOTRO,DIABO,FEMME,18006
VALLEE DU BANDAMAN,GBEKE,BOTRO,KROFOINSOU,FEMME,6516
VALLEE DU BANDAMAN,GBEKE,BOTRO,LANGUIBONOU,FEMME,16851
VALLEE DU BANDAMAN,GBEKE,BOUAKE,BOUAKE,FEMME,398619
VALLEE DU BANDAMAN,GBEKE,BOUAKE,BOUNDA,FEMME,7117
VALLEE DU BANDAMAN,GBEKE,BOUAKE,BROBO,FEMME,11519
VALLEE DU BANDAMAN,GBEKE,BOUAKE,DJEBONOUA,FEMME,20298
VALLEE DU BANDAMAN,GBEKE,BOUAKE,MAMINI,FEMME,9674
VALLEE DU BANDAMAN,GBEKE,SAKASSOU,AYAOU-SRAN,FEMME,7469
VALLEE DU BANDAMAN,GBEKE,SAKASSOU,DIBRI-ASSIRIKRO,FEMME,9740
VALLEE DU BANDAMAN,GBEKE,SAKASSOU,SAKASSOU,FEMME,33710
VALLEE DU BANDAMAN,GBEKE,SAKASSOU,TOUMODI-SAKASSOU,FEMME,1847
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,BASSAWA,FEMME,10195
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,BONIEREDOUGOU,FEMME,13075
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,DABAKALA,FEMME,37803
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,FOUMBOLO,FEMME,13863
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,NIEMENE,FEMME,8156
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,SATAMA-SOKORO,FEMME,12647
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,SATAMA-SOKOURA,FEMME,6497
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,SOKALA-SOBARA,FEMME,9083
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,TENDENE-BAMBARASSO,FEMME,6230
VALLEE DU BANDAMAN,HAMBOL ,DABAKALA,YAOSSEDOUGOU,FEMME,4080
VALLEE DU BANDAMAN,HAMBOL ,KATIOLA,FRONAN,FEMME,26563
VALLEE DU BANDAMAN,HAMBOL ,KATIOLA,KATIOLA,FEMME,43058
VALLEE DU BANDAMAN,HAMBOL ,KATIOLA,TIMBE,FEMME,7098
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,ARIKOKAHA,FEMME,5618
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,BADIKAHA,FEMME,13209
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,NIAKARAMADOUGOU,FEMME,36740
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,NIEDEKAHA,FEMME,6314
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,TAFIRE,FEMME,15604
VALLEE DU BANDAMAN,HAMBOL ,NIAKARAMADOUGOU,TORTIYA,FEMME,14430
WOROBA,WORODOUGOU,KANI,DJIBROSSO,FEMME,10613
WOROBA,WORODOUGOU,KANI,FADIADOUGOU,FEMME,16774
WOROBA,WORODOUGOU,KANI,KANI,FEMME,25953
WOROBA,WORODOUGOU,KANI,MORONDO,FEMME,9559
WOROBA,WORODOUGOU,SEGUELA,BOBI,FEMME,3480
WOROBA,WORODOUGOU,SEGUELA,DIARABANA,FEMME,11464
WOROBA,WORODOUGOU,SEGUELA,DUALLA,FEMME,4835
WOROBA,WORODOUGOU,SEGUELA,KAMALO,FEMME,6420
WOROBA,WORODOUGOU,SEGUELA,MASSALA,FEMME,19421
WOROBA,WORODOUGOU,SEGUELA,SEGUELA,FEMME,50139
WOROBA,WORODOUGOU,SEGUELA,SIFIE,FEMME,14428
WOROBA,WORODOUGOU,SEGUELA,WOROFLA,FEMME,31170
WOROBA,BERE,DIANRA,DIANRA,FEMME,30164
WOROBA,BERE,DIANRA,DIANRA-VILLAGE,FEMME,28447
WOROBA,BERE,KOUNAHIRI,KONGASSO,FEMME,17572
WOROBA,BERE,KOUNAHIRI,KOUNAHIRI,FEMME,30049
WOROBA,BERE,MANKONO,BOUANDOUGOU,FEMME,21882
WOROBA,BERE,MANKONO,MANKONO,FEMME,34806
WOROBA,BERE,MANKONO,MARANDALAH,FEMME,20723
WOROBA,BERE,MANKONO,SARHALA,FEMME,19834
WOROBA,BERE,MANKONO,TIENINGBOUE,FEMME,32090
WOROBA,BAFING,KORO,BOOKO,FEMME,11057
WOROBA,BAFING,KORO,BOROTOU,FEMME,2494
WOROBA,BAFING,KORO,KORO,FEMME,15284
WOROBA,BAFING,KORO,MAHANDOUGOU,FEMME,3182
WOROBA,BAFING,KORO,NIOKOSSO,FEMME,4129
WOROBA,BAFING,OUANINOU,GBELO,FEMME,2863
WOROBA,BAFING,OUANINOU,GOUEKAN,FEMME,2154
WOROBA,BAFING,OUANINOU,KOONAN,FEMME,4733
WOROBA,BAFING,OUANINOU,OUANINOU,FEMME,13796
WOROBA,BAFING,OUANINOU,SABOUDOUGOU,FEMME,2587
WOROBA,BAFING,OUANINOU,SANTA (DE OUANINOU),FEMME,6047
WOROBA,BAFING,TOUBA,DIOMAN,FEMME,3209
WOROBA,BAFING,TOUBA,FOUNGBESSO,FEMME,11890
WOROBA,BAFING,TOUBA,GUINTEGUELA,FEMME,16298
WOROBA,BAFING,TOUBA,TOUBA,FEMME,26209
ZANZAN ,GONTOUGO,BONDOUKOU,APPIMANDOUM,FEMME,4885
ZANZAN ,GONTOUGO,BONDOUKOU,PINDA-BOROKO,FEMME,3047
ZANZAN ,GONTOUGO,BONDOUKOU,BONDO,FEMME,14147
ZANZAN ,GONTOUGO,BONDOUKOU,BONDOUKOU,FEMME,68019
ZANZAN ,GONTOUGO,BONDOUKOU,GOUMERE,FEMME,11692
ZANZAN ,GONTOUGO,BONDOUKOU,LAOUDI-BA,FEMME,46819
ZANZAN ,GONTOUGO,BONDOUKOU,SAPLI-SEPINGO,FEMME,6078
ZANZAN ,GONTOUGO,BONDOUKOU,SOROBANGO,FEMME,16448
ZANZAN ,GONTOUGO,BONDOUKOU,TABAGNE,FEMME,13402
ZANZAN ,GONTOUGO,BONDOUKOU,TAGADI,FEMME,16096
ZANZAN ,GONTOUGO,BONDOUKOU,TAOUDI,FEMME,14384
ZANZAN ,GONTOUGO,BONDOUKOU,YEZIMALA,FEMME,4456
ZANZAN ,GONTOUGO,KOUN-FAO,BOAHIA,FEMME,5615
ZANZAN ,GONTOUGO,KOUN-FAO,KOKOMIAN,FEMME,6766
ZANZAN ,GONTOUGO,KOUN-FAO,KOUASSI-DATEKRO,FEMME,14824
ZANZAN ,GONTOUGO,KOUN-FAO,KOUN-FAO,FEMME,23271
ZANZAN ,GONTOUGO,KOUN-FAO,TANKESSE,FEMME,16944
ZANZAN ,GONTOUGO,KOUN-FAO,TIENKOIKRO,FEMME,11793
ZANZAN ,GONTOUGO,SANDEGUE,BANDAKAGNI-TOMORA,FEMME,5435
ZANZAN ,GONTOUGO,SANDEGUE,DIMANDOUGOU,FEMME,4215
ZANZAN ,GONTOUGO,SANDEGUE,SANDEGUE,FEMME,13138
ZANZAN ,GONTOUGO,SANDEGUE,YOROBODI,FEMME,10930
ZANZAN ,GONTOUGO,TRANSUA,ASSUEFRY,FEMME,22541
ZANZAN ,GONTOUGO,TRANSUA,KOUASSI-NIAGUINI,FEMME,10185
ZANZAN ,GONTOUGO,TRANSUA,TRANSUA,FEMME,22682
ZANZAN ,GONTOUGO,TANDA,AMANVI,FEMME,5113
ZANZAN ,GONTOUGO,TANDA,DIAMBA,FEMME,8423
ZANZAN ,GONTOUGO,TANDA,TANDA,FEMME,34241
ZANZAN ,GONTOUGO,TANDA,TCHEDIO,FEMME,8606
ZANZAN ,BOUNKANI ,BOUNA,BOUKO,FEMME,12135
ZANZAN ,BOUNKANI ,BOUNA,BOUNA,FEMME,46651
ZANZAN ,BOUNKANI ,BOUNA,ONDEFIDOUO,FEMME,16811
ZANZAN ,BOUNKANI ,BOUNA,YOUNDOUO,FEMME,12576
ZANZAN ,BOUNKANI ,DOROPO,DANOA,FEMME,6639
ZANZAN ,BOUNKANI ,DOROPO,DOROPO,FEMME,23697
ZANZAN ,BOUNKANI ,DOROPO,KALAMON,FEMME,4689
ZANZAN ,BOUNKANI ,DOROPO,NIAMOUE,FEMME,11439
ZANZAN ,BOUNKANI ,NASSIAN,BOGOFA,FEMME,5332
ZANZAN ,BOUNKANI ,NASSIAN,KAKPIN,FEMME,4294
ZANZAN ,BOUNKANI ,NASSIAN,KOTOUBA,FEMME,6962
ZANZAN ,BOUNKANI ,NASSIAN,NASSIAN,FEMME,13615
ZANZAN ,BOUNKANI ,NASSIAN,SOMINASSE,FEMME,5494
ZANZAN ,BOUNKANI ,TEHINI,GOGO,FEMME,11307
ZANZAN ,BOUNKANI ,TEHINI,TEHINI,FEMME,14219
ZANZAN ,BOUNKANI ,TEHINI,TOUGBO,FEMME,14866
ABIDJAN,ABIDJAN,ABIDJAN,ABOBO,MENAGE,280206
ABIDJAN,ABIDJAN,ABIDJAN,ADJAME,MENAGE,72671
ABIDJAN,ABIDJAN,ABIDJAN,ATTECOUBE,MENAGE,67683
ABIDJAN,ABIDJAN,ABIDJAN,COCODY,MENAGE,169438
ABIDJAN,ABIDJAN,ABIDJAN,KOUMASSI,MENAGE,97794
ABIDJAN,ABIDJAN,ABIDJAN,MARCORY,MENAGE,50945
ABIDJAN,ABIDJAN,ABIDJAN,PLATEAU,MENAGE,1584
ABIDJAN,ABIDJAN,ABIDJAN,PORT-BOUET,MENAGE,146903
ABIDJAN,ABIDJAN,ABIDJAN,TREICHVILLE,MENAGE,25046
ABIDJAN,ABIDJAN,ABIDJAN,YOPOUGON,MENAGE,349480
ABIDJAN,ABIDJAN,ABIDJAN,ANYAMA,MENAGE,80147
ABIDJAN,ABIDJAN,ABIDJAN,BINGERVILLE,MENAGE,46607
ABIDJAN,ABIDJAN,ABIDJAN,BROFODOUME,MENAGE,5088
ABIDJAN,ABIDJAN,ABIDJAN,SONGON,MENAGE,20544
YAMOUSSOUKRO ,YAMOUSSOUKRO ,ATTIEGOUAKRO,ATTIEGOUAKRO,MENAGE,2819
YAMOUSSOUKRO ,YAMOUSSOUKRO ,ATTIEGOUAKRO,LOLOBO (D'ATTIEGOUAKRO),MENAGE,6513
YAMOUSSOUKRO ,YAMOUSSOUKRO ,YAMOUSSOUKRO,YAMOUSSOUKRO,MENAGE,67394
YAMOUSSOUKRO ,YAMOUSSOUKRO ,YAMOUSSOUKRO,KOSSOU,MENAGE,6034
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,DOBA,MENAGE,17498
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,DOGBO,MENAGE,10015
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,GABIADJI,MENAGE,20666
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,GRAND-BEREBY,MENAGE,26269
BAS-SASSANDRA,SAN PEDRO ,SAN-PEDRO,SAN-PEDRO,MENAGE,75903
BAS-SASSANDRA,SAN PEDRO ,TABOU,DAPO-IBOKE,MENAGE,4647
BAS-SASSANDRA,SAN PEDRO ,TABOU,DJAMANDIOKE,MENAGE,3372
BAS-SASSANDRA,SAN PEDRO ,TABOU,DJOUROUTOU,MENAGE,15377
BAS-SASSANDRA,SAN PEDRO ,TABOU,GRABO,MENAGE,9789
BAS-SASSANDRA,SAN PEDRO ,TABOU,OLODIO,MENAGE,4786
BAS-SASSANDRA,SAN PEDRO ,TABOU,TABOU,MENAGE,9743
BAS-SASSANDRA,NAWA ,BUYO,BUYO,MENAGE,15769
BAS-SASSANDRA,NAWA ,BUYO,DAPEOUA,MENAGE,11922
BAS-SASSANDRA,NAWA ,GUEYO,DABOUYO,MENAGE,7579
BAS-SASSANDRA,NAWA ,GUEYO,GUEYO,MENAGE,10230
BAS-SASSANDRA,NAWA ,MEAGUI,GNAMANGUI,MENAGE,13047
BAS-SASSANDRA,NAWA ,MEAGUI,MEAGUI,MENAGE,33047
BAS-SASSANDRA,NAWA ,MEAGUI,OUPOYO,MENAGE,9385
BAS-SASSANDRA,NAWA ,SOUBRE,GRAND-ZATTRY,MENAGE,17399
BAS-SASSANDRA,NAWA ,SOUBRE,LILIYO,MENAGE,14682
BAS-SASSANDRA,NAWA ,SOUBRE,OKROUYO,MENAGE,19805
BAS-SASSANDRA,NAWA ,SOUBRE,SOUBRE,MENAGE,56747
BAS-SASSANDRA,GBOKLE,FRESCO,DAHIRI,MENAGE,5802
BAS-SASSANDRA,GBOKLE,FRESCO,FRESCO,MENAGE,10602
BAS-SASSANDRA,GBOKLE,FRESCO,GBAGBAM,MENAGE,4222
BAS-SASSANDRA,GBOKLE,SASSANDRA,DAKPADOU,MENAGE,12089
BAS-SASSANDRA,GBOKLE,SASSANDRA,GRIHIRI,MENAGE,7083
BAS-SASSANDRA,GBOKLE,SASSANDRA,LOBAKUYA,MENAGE,6521
BAS-SASSANDRA,GBOKLE,SASSANDRA,MEDON,MENAGE,3554
BAS-SASSANDRA,GBOKLE,SASSANDRA,SAGO,MENAGE,17190
BAS-SASSANDRA,GBOKLE,SASSANDRA,SASSANDRA,MENAGE,18028
COMOE,INDENIE-DJUABLIN,ABENGOUROU,ABENGOUROU,MENAGE,32376
COMOE,INDENIE-DJUABLIN,ABENGOUROU,AMELEKIA,MENAGE,6863
COMOE,INDENIE-DJUABLIN,ABENGOUROU,ANIASSUE,MENAGE,8215
COMOE,INDENIE-DJUABLIN,ABENGOUROU,EBILASSOKRO,MENAGE,5098
COMOE,INDENIE-DJUABLIN,ABENGOUROU,NIABLE,MENAGE,10734
COMOE,INDENIE-DJUABLIN,ABENGOUROU,YAKASSE-FEYASSE,MENAGE,11742
COMOE,INDENIE-DJUABLIN,ABENGOUROU,ZARANOU,MENAGE,12466
COMOE,INDENIE-DJUABLIN,AGNIBILEKROU,AGNIBILEKROU,MENAGE,23896
COMOE,INDENIE-DJUABLIN,AGNIBILEKROU,AKOBOISSUE,MENAGE,7281
COMOE,INDENIE-DJUABLIN,AGNIBILEKROU,DAME,MENAGE,4501
COMOE,INDENIE-DJUABLIN,AGNIBILEKROU,DUFFREBO,MENAGE,8738
COMOE,INDENIE-DJUABLIN,AGNIBILEKROU,TANGUELAN,MENAGE,2466
COMOE,INDENIE-DJUABLIN,BETTIE,BETTIE,MENAGE,6207
COMOE,INDENIE-DJUABLIN,BETTIE,DIAMARAKRO,MENAGE,5558
COMOE,SUD-COMOE ,ABOISSO,ABOISSO,MENAGE,23098
COMOE,SUD-COMOE ,ABOISSO,ADAOU,MENAGE,8836
COMOE,SUD-COMOE ,ABOISSO,ADJOUAN,MENAGE,5347
COMOE,SUD-COMOE ,ABOISSO,AYAME,MENAGE,5632
COMOE,SUD-COMOE ,ABOISSO,BIANOUAN,MENAGE,8165
COMOE,SUD-COMOE ,ABOISSO,KOUAKRO,MENAGE,6780
COMOE,SUD-COMOE ,ABOISSO,MAFERE,MENAGE,10134
COMOE,SUD-COMOE ,ABOISSO,YAOU,MENAGE,3749
COMOE,SUD-COMOE ,ADIAKE,ADIAKE,MENAGE,10651
COMOE,SUD-COMOE ,ADIAKE,ASSINIE-MAFIA,MENAGE,5208
COMOE,SUD-COMOE ,ADIAKE,ETUEBOUE,MENAGE,2541
COMOE,SUD-COMOE ,GRAND-BASSAM,BONGO,MENAGE,5614
COMOE,SUD-COMOE ,GRAND-BASSAM,BONOUA,MENAGE,27302
COMOE,SUD-COMOE ,GRAND-BASSAM,GRAND-BASSAM,MENAGE,27232
COMOE,SUD-COMOE ,TIAPOUM,NOE,MENAGE,4335
COMOE,SUD-COMOE ,TIAPOUM,NOUAMOU,MENAGE,2491
COMOE,SUD-COMOE ,TIAPOUM,TIAPOUM,MENAGE,4799
DENGUELE ,KABADOUGOU,GBELEBAN,GBELEBAN,MENAGE,797
DENGUELE ,KABADOUGOU,GBELEBAN,SAMANGO,MENAGE,2680
DENGUELE ,KABADOUGOU,GBELEBAN,SEYDOUGOU,MENAGE,1013
DENGUELE ,KABADOUGOU,MADINANI,FENGOLO,MENAGE,693
DENGUELE ,KABADOUGOU,MADINANI,MADINANI,MENAGE,3558
DENGUELE ,KABADOUGOU,MADINANI,N’GOLOBLASSO,MENAGE,930
DENGUELE ,KABADOUGOU,ODIENNE,BAKO,MENAGE,3767
DENGUELE ,KABADOUGOU,ODIENNE,BOUGOUSSO,MENAGE,1066
DENGUELE ,KABADOUGOU,ODIENNE,DIOULATIEDOUGOU,MENAGE,3025
DENGUELE ,KABADOUGOU,ODIENNE,ODIENNE,MENAGE,20193
DENGUELE ,KABADOUGOU,ODIENNE,TIEME,MENAGE,1986
DENGUELE ,KABADOUGOU,SAMATIGUILA,KIMBIRILA-SUD,MENAGE,1686
DENGUELE ,KABADOUGOU,SAMATIGUILA,SAMATIGUILA,MENAGE,1612
DENGUELE ,KABADOUGOU,SEGUELON,GBONGAHA,MENAGE,1772
DENGUELE ,KABADOUGOU,SEGUELON,SEGUELON,MENAGE,3338
DENGUELE ,FOLON ,KANIASSO,GOULIA,MENAGE,2331
DENGUELE ,FOLON ,KANIASSO,KANIASSO,MENAGE,2193
DENGUELE ,FOLON ,KANIASSO,MAHANDIANA-SOKOURANI,MENAGE,4035
DENGUELE ,FOLON ,MINIGNAN,KIMBIRILA-NORD,MENAGE,1242
DENGUELE ,FOLON ,MINIGNAN,MINIGNAN,MENAGE,4292
DENGUELE ,FOLON ,MINIGNAN,SOKORO,MENAGE,1586
DENGUELE ,FOLON ,MINIGNAN,TIENKO,MENAGE,2833
GÔH-DJIBOUA,GÔH,GAGNOA,BAYOTA,MENAGE,9022
GÔH-DJIBOUA,GÔH,GAGNOA,DAHIEPA-KEHI,MENAGE,4261
GÔH-DJIBOUA,GÔH,GAGNOA,DIGNAGO,MENAGE,6233
GÔH-DJIBOUA,GÔH,GAGNOA,DOUGROUPALEGONAO,MENAGE,9609
GÔH-DJIBOUA,GÔH,GAGNOA,DOUKOUYO,MENAGE,2869
GÔH-DJIBOUA,GÔH,GAGNOA,GAGNOA,MENAGE,56063
GÔH-DJIBOUA,GÔH,GAGNOA,GALEBRE / GALEBOUO,MENAGE,7442
GÔH-DJIBOUA,GÔH,GAGNOA,GNAGBODOUGNOA,MENAGE,3171
GÔH-DJIBOUA,GÔH,GAGNOA,GUIBEROUA,MENAGE,14794
GÔH-DJIBOUA,GÔH,GAGNOA,OURAGAHIO,MENAGE,9227
GÔH-DJIBOUA,GÔH,GAGNOA,SERIHIO,MENAGE,7537
GÔH-DJIBOUA,GÔH,GAGNOA,YOPOHUE,MENAGE,4865
GÔH-DJIBOUA,GÔH,OUME,DIEGONEFLA,MENAGE,14809
GÔH-DJIBOUA,GÔH,OUME,GUEPAHOUO,MENAGE,4427
GÔH-DJIBOUA,GÔH,OUME,OUME,MENAGE,25028
GÔH-DJIBOUA,GÔH,OUME,TONLA,MENAGE,5192
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,CHIEPO,MENAGE,3809
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,DIDOKO,MENAGE,5510
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,DIVO,MENAGE,54662
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,HIRE,MENAGE,16619
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,NEBO,MENAGE,5602
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,OGOUDOU,MENAGE,13042
GÔH-DJIBOUA,LÔH-DJIBOUA ,DIVO,ZEGO,MENAGE,4421
GÔH-DJIBOUA,LÔH-DJIBOUA ,GUITRY,DAIRO-DIDIZO,MENAGE,9164
GÔH-DJIBOUA,LÔH-DJIBOUA ,GUITRY,GUITRY,MENAGE,14257
GÔH-DJIBOUA,LÔH-DJIBOUA ,GUITRY,LAUZOUA,MENAGE,5400
GÔH-DJIBOUA,LÔH-DJIBOUA ,GUITRY,YOCOBOUE,MENAGE,4425
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,DJIDJI,MENAGE,2884
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,GAGORE,MENAGE,3002
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,GOUDOUKO,MENAGE,6722
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,LAKOTA,MENAGE,33968
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,NIAMBEZARIA,MENAGE,14338
GÔH-DJIBOUA,LÔH-DJIBOUA ,LAKOTA,ZIKISSO,MENAGE,2260
LACS,BELIER ,DIDIEVI,BOLI,MENAGE,2313
LACS,BELIER ,DIDIEVI,DIDIEVI,MENAGE,4867
LACS,BELIER ,DIDIEVI,MOLONOU-BLE,MENAGE,3600
LACS,BELIER ,DIDIEVI,RAVIART,MENAGE,2923
LACS,BELIER ,DIDIEVI,TIE-N’DIEKRO,MENAGE,2158
LACS,BELIER ,DJEKANOU,BONIKRO,MENAGE,2824
LACS,BELIER ,DJEKANOU,DJEKANOU,MENAGE,5978
LACS,BELIER ,TIEBISSOU,LOMOKANKRO,MENAGE,2578
LACS,BELIER ,TIEBISSOU,MOLONOU,MENAGE,4647
LACS,BELIER ,TIEBISSOU,TIEBISSOU,MENAGE,12465
LACS,BELIER ,TIEBISSOU,YAKPABO-SAKASSOU,MENAGE,2475
LACS,BELIER ,TOUMODI,ANGODA,MENAGE,2222
LACS,BELIER ,TOUMODI,KOKOUMBO,MENAGE,6764
LACS,BELIER ,TOUMODI,KPOUEBO,MENAGE,6758
LACS,BELIER ,TOUMODI,TOUMODI,MENAGE,17809
